ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,3,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:33+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,4,PASS,0.1,6000,0,2026-02-06T11:39:33+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,5,PASS,0.0,6000,1,2026-02-06T11:39:34+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,6,PASS,1.8,6000,1,2026-02-06T11:39:35+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,7,PASS,0.0,6000,0,2026-02-06T11:39:35+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,8,PASS,0.0,6000,1,2026-02-06T11:39:36+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,9,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:37+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,10,PASS,0.0,6000,1,2026-02-06T11:39:38+00:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,1,INCONCLUSIVE,0.0,0,0,2026-02-06T11:39:38+00:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,2,INCONCLUSIVE,0.0,0,1,2026-02-06T11:39:39+00:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,3,INCONCLUSIVE,0.0,0,2,2026-02-06T11:39:41+00:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,4,INCONCLUSIVE,0.0,0,1,2026-02-06T11:39:42+00:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,5,PASS,0.0,6000,0,2026-02-06T11:39:42+00:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,6,PASS,0.0,6000,1,2026-02-06T11:39:43+00:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,7,PASS,0.0,6000,1,2026-02-06T11:39:44+00:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,8,PASS,0.0,6000,0,2026-02-06T11:39:44+00:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,9,PASS,3.9,6000,1,2026-02-06T11:39:45+00:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,10,INCONCLUSIVE,0.0,0,1,2026-02-06T11:39:46+00:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,1,INCONCLUSIVE,0.0,0,1,2026-02-06T11:39:47+00:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,2,PASS,0.0,6000,1,2026-02-06T11:39:48+00:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,3,INCONCLUSIVE,0.0,0,1,2026-02-06T11:39:49+00:00
