ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,4,PASS,0.4,6000,0,2026-02-05T22:10:35-03:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,5,PASS,2.8,6000,1,2026-02-05T22:10:36-03:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,6,INCONCLUSIVE,0.0,0,1,2026-02-05T22:10:37-03:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,7,PASS,1.1,6000,1,2026-02-05T22:10:38-03:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,8,PASS,6.8,6000,1,2026-02-05T22:10:39-03:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,9,PASS,0.3,6000,0,2026-02-05T22:10:39-03:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,10,PASS,7.6,6000,1,2026-02-05T22:10:40-03:00
Rust,dalek,dalek::x25519::x25519_ecdh_exchange_constant_time,1,INCONCLUSIVE,0.0,0,1,2026-02-05T22:10:41-03:00
Rust,dalek,dalek::x25519::x25519_ecdh_exchange_constant_time,2,PASS,3.3,6000,1,2026-02-05T22:10:42-03:00
Rust,dalek,dalek::x25519::x25519_ecdh_exchange_constant_time,3,PASS,0.4,6000,0,2026-02-05T22:10:42-03:00
Rust,dalek,dalek::x25519::x25519_ecdh_exchange_constant_time,4,PASS,0.1,6000,1,2026-02-05T22:10:43-03:00
Rust,dalek,dalek::x25519::x25519_ecdh_exchange_constant_time,5,PASS,0.1,6000,1,2026-02-05T22:10:44-03:00
Rust,dalek,dalek::x25519::x25519_ecdh_exchange_constant_time,6,PASS,0.4,6000,1,2026-02-05T22:10:45-03:00
Rust,dalek,dalek::x25519::x25519_ecdh_exchange_constant_time,7,PASS,0.5,6000,1,2026-02-05T22:10:46-03:00
Rust,dalek,dalek::x25519::x25519_ecdh_exchange_constant_time,8,PASS,0.1,6000,0,2026-02-05T22:10:46-03:00
Rust,dalek,dalek::x25519::x25519_ecdh_exchange_constant_time,9,PASS,0.2,6000,1,2026-02-05T22:10:47-03:00
Rust,dalek,dalek::x25519::x25519_ecdh_exchange_constant_time,10,INCONCLUSIVE,0.0,0,1,2026-02-05T22:10:48-03:00
Rust,dalek,dalek::x25519::x25519_hamming_weight_independence,1,PASS,0.2,6000,1,2026-02-05T22:10:49-03:00
Rust,dalek,dalek::x25519::x25519_hamming_weight_independence,2,INCONCLUSIVE,0.0,0,1,2026-02-05T22:10:50-03:00
Rust,dalek,dalek::x25519::x25519_hamming_weight_independence,3,INCONCLUSIVE,0.0,0,0,2026-02-05T22:10:50-03:00
Rust,dalek,dalek::x25519::x25519_hamming_weight_independence,4,INCONCLUSIVE,0.0,0,1,2026-02-05T22:10:51-03:00
Rust,dalek,dalek::x25519::x25519_hamming_weight_independence,5,PASS,0.8,6000,1,2026-02-05T22:10:52-03:00
Rust,dalek,dalek::x25519::x25519_hamming_weight_independence,6,PASS,0.7,6000,1,2026-02-05T22:10:53-03:00
Rust,dalek,dalek::x25519::x25519_hamming_weight_independence,7,PASS,7.0,6000,1,2026-02-05T22:10:54-03:00
